,SCR,FCR,Total
Aquisicoes,90.9,112.4,203.3
Alienacoes,180.2,98.7,278.9
Investimento Liquido,-89.3,13.7,-75.6
Valor das Transacoes,271.1,211.1,482.2
Rotacao das Carteiras,35.9,11.2,18.3
